Concept,Rel,Feature,Frequency,上级类别,下级类别
棒棒糖,可以,可以-融化,4.0,食物,固态干粮
棒棒糖,可以,可以-舔,4.0,食物,固态干粮
棒棒糖,像,像-锤子,4.0,食物,固态干粮
棒棒糖,有,有-多种样式,4.0,食物,固态干粮
棒棒糖,像,像-棉花糖,3.0,食物,固态干粮
棒棒糖,需要,需要-剥开,3.0,食物,固态干粮
棒棒糖,有,有-多种形状,3.0,食物,固态干粮
棒棒糖,可以,可以-买卖,2.0,食物,固态干粮
棒棒糖,可以,可以-咬碎,2.0,食物,固态干粮
棒棒糖,是,是-扁的,2.0,食物,固态干粮
棒棒糖,是,是-方形的,2.0,食物,固态干粮
棒棒糖,是,是-能量,2.0,食物,固态干粮
棒棒糖,是,是-硬的,2.0,食物,固态干粮
棒棒糖,像,像-灯泡,2.0,食物,固态干粮
棒棒糖,像,像-巧克力,2.0,食物,固态干粮
棒棒糖,像,像-伞,2.0,食物,固态干粮
棒棒糖,像,像-糖,2.0,食物,固态干粮
棒棒糖,需要,需要-拆包装,2.0,食物,固态干粮
棒棒糖,需要,需要-买,2.0,食物,固态干粮
棒棒糖,需要,需要-糖,2.0,食物,固态干粮
棒棒糖,需要,需要-舔,2.0,食物,固态干粮
棒棒糖,有,有-热量,2.0,食物,固态干粮
棒棒糖,有,有-塑料,2.0,食物,固态干粮
棒棒糖,有,有-小棍子,2.0,食物,固态干粮
棒棒糖,有,有-形状,2.0,食物,固态干粮
棒棒糖,有,有-颜色,2.0,食物,固态干粮
包,像,像-袋子,9.0,人造物,工具
包,有,有-布,9.0,人造物,工具
包,有,有-带子,9.0,人造物,工具
包,有,有-多种样式,8.0,人造物,工具
包,有,有-拉链,8.0,人造物,工具
包,需要,需要-清洗,7.0,人造物,工具
包,像,像-口袋,5.0,人造物,工具
包,需要,需要-制造,5.0,人造物,工具
包,可以,可以-背,4.0,人造物,工具
包,其他,其他-女人,4.0,人造物,工具
包,有,有-多种品牌,4.0,人造物,工具
包,有,有-多种种类,4.0,人造物,工具
包,可以,可以-买卖,3.0,人造物,工具
包,是,是-必需品,3.0,人造物,工具
包,是,是-贵的,3.0,人造物,工具
包,是,是-皮的,3.0,人造物,工具
包,是,是-容器,3.0,人造物,工具
包,是,是-实用的,3.0,人造物,工具
包,像,像-盒子,3.0,人造物,工具
包,需要,需要-爱护,3.0,人造物,工具
包,需要,需要-钱,3.0,人造物,工具
包,有,有-多种材质,3.0,人造物,工具
包,有,有-多种功能,3.0,人造物,工具
包,有,有-多种型号,3.0,人造物,工具
包,有,有-多种颜色,3.0,人造物,工具
包,有,有-颜色,3.0,人造物,工具
包,可以,可以-背着,2.0,人造物,工具
包,可以,可以-搭配服饰,2.0,人造物,工具
包,可以,可以-收藏,2.0,人造物,工具
包,可以,可以-收纳,2.0,人造物,工具
包,可以,可以-送礼,2.0,人造物,工具
包,是,是-常见的,2.0,人造物,工具
包,是,是-配饰,2.0,人造物,工具
包,是,是-日常的,2.0,人造物,工具
包,是,是-生活用品,2.0,人造物,工具
包,是,是-书包,2.0,人造物,工具
包,是,是-小的,2.0,人造物,工具
包,是,是-用品,2.0,人造物,工具
包,是,是-装饰,2.0,人造物,工具
包,像,像-麻袋,2.0,人造物,工具
包,像,像-塑料袋,2.0,人造物,工具
